names	scores	logfoldchanges	pvals	pvals_adj	cluster
ARPC1B	4.032533	0.18538868	5.809351830197482e-05	0.00030622700338966513	Macro_FN1
P4HB	4.0276446	0.42173192	5.941010652040679e-05	0.00031302019219680785	Macro_FN1
LDHD	4.026612	1.1578583	5.9747758751872566e-05	0.00031470079465149197	Macro_FN1
TTTY15	4.024888	1.0003266	6.0171699243045854e-05	0.0003168842191771158	Macro_FN1
NDUFS3	4.0219374	0.4754055	6.08741421856701e-05	0.00032033317926034177	Macro_FN1
UBASH3B	4.0200257	0.5387057	6.137881985116875e-05	0.00032293846909201744	Macro_FN1
RBM15B	4.019894	0.5867696	6.141603948894343e-05	0.0003230838461421483	Macro_FN1
SLAMF8	4.0187716	0.51613927	6.169469037481267e-05	0.0003244990473757318	Macro_FN1
ACAT1	4.0116367	0.57377	6.357959775829757e-05	0.0003341523891542783	Macro_FN1
SDHB	4.01074	0.45478332	6.379194092424104e-05	0.00033511157740900806	Macro_FN1
SRPRA	4.005262	0.46720123	6.52767425840921e-05	0.00034216468024710626	Macro_FN1
ZDHHC2	4.00367	0.6636403	6.574188654963329e-05	0.0003442279915156711	Macro_FN1
NDUFC1	4.0023837	0.4482039	6.605575628909257e-05	0.0003453347792714794	Macro_FN1
EIF3G	4.00208	0.37670308	6.612286304899344e-05	0.0003454711967084486	Macro_FN1
PNRC2	3.9976366	0.44834676	6.738074981108657e-05	0.000350413178597739	Macro_FN1
BTN3A1	3.997558	0.6125137	6.743587806201781e-05	0.0003505916487303854	Macro_FN1
KLHDC3	3.9968698	0.5242956	6.76203112973192e-05	0.00035117120358382753	Macro_FN1
ECE2	3.9949324	0.8756895	6.82036589221288e-05	0.00035360118229300013	Macro_FN1
AK2	3.9897058	0.46621817	6.965517517523319e-05	0.00035875290008473054	Macro_FN1
C19orf48	3.9877176	0.7374729	7.027324366774827e-05	0.0003613838022193392	Macro_FN1
SMYD2	3.9849954	0.62645805	7.106414405106036e-05	0.0003647182680884006	Macro_FN1
EFR3A	3.9791822	0.48093233	7.277981593695583e-05	0.0003727379720595516	Macro_FN1
MAFF	3.9784477	0.4758411	7.298893006921503e-05	0.0003735818030916195	Macro_FN1
OSBPL8	3.9765007	0.43590975	7.357490827437102e-05	0.00037629522759512104	Macro_FN1
SLC27A1	3.9739301	0.6977458	7.441569582306982e-05	0.0003801914260898429	Macro_FN1
KIF13B	3.9717484	0.51456356	7.50688860483582e-05	0.00038329611251907575	Macro_FN1
ATXN10	3.970115	0.46742684	7.556862711548811e-05	0.000385789291216554	Macro_FN1
SYT11	3.9665647	0.6572309	7.67222505292905e-05	0.0003914414762770918	Macro_FN1
SRM	3.9630578	0.4931743	7.782062175363967e-05	0.0003966850271357239	Macro_FN1
FAM213A	3.9629674	0.649009	7.787197055577544e-05	0.00039688673058634055	Macro_FN1
AFG3L2	3.955677	0.51420707	8.024056569795962e-05	0.00040858782237071956	Macro_FN1
NCOR2	3.9497716	0.48218855	8.221339628210164e-05	0.00041844383298023145	Macro_FN1
MAN2A1	3.9315972	0.47940615	8.860673073451376e-05	0.00044955807639944387	Macro_FN1
NME1	3.930454	0.5207917	8.903938578628242e-05	0.00045161720076516634	Macro_FN1
ZCRB1	3.9278378	0.48773965	8.999278548959077e-05	0.0004562469025408173	Macro_FN1
BTAF1	3.9266274	0.51703054	9.04491819534019e-05	0.0004583538482084409	Macro_FN1
SND1	3.923821	0.45435518	9.147777751366377e-05	0.0004631483449354451	Macro_FN1
RP11-227G15.12	3.9212556	1.7505885	9.256446421816218e-05	0.00046829835696197546	Macro_FN1
LRRC41	3.91771	0.51327384	9.3820397732591e-05	0.00047450982906063055	Macro_FN1
UBC	3.917022	0.17892365	9.393537611585192e-05	0.0004750200454521259	Macro_FN1
SKI	3.915354	0.5387349	9.473335391404086e-05	0.00047883972798975284	Macro_FN1
IMP4	3.909323	0.48776734	9.709407823887274e-05	0.0004903309160942113	Macro_FN1
PPFIBP2	3.9062583	0.5968629	9.834075056697328e-05	0.0004965522627908883	Macro_FN1
COX20	3.8978164	0.47133023	0.0001017632059207123	0.0005134485564978258	Macro_FN1
MRPL24	3.8973453	0.49263966	0.00010196823805100519	0.0005142623321038975	Macro_FN1
LSM4	3.8972938	0.44642955	0.00010197028078548521	0.0005142623321038975	Macro_FN1
RPL26L1	3.8953679	0.4853692	0.00010279215681737422	0.0005181745858474876	Macro_FN1
NSMCE2	3.894485	0.5512298	0.000103179092370692	0.000519969539087361	Macro_FN1
ROGDI	3.8941972	0.5095598	0.0001032913605319452	0.000520382136290667	Macro_FN1
PSMB10	3.8878694	0.38714722	0.00010593399134150531	0.0005332148049388527	Macro_FN1
HNRNPC	3.8872774	0.34980124	0.00010618152108362667	0.0005343809068546253	Macro_FN1
NHS	3.882848	1.6264989	0.00010828174627382296	0.0005443815516189483	Macro_FN1
REEP3	3.8779259	0.47218925	0.00011035542916310173	0.0005537328116487788	Macro_FN1
ENTPD6	3.875432	0.57089025	0.00011150391985650206	0.0005586636543710008	Macro_FN1
ATP6V0E1	3.868317	0.27899495	0.00011465600627227332	0.0005693764886275575	Macro_FN1
EIF3I	3.8556795	0.417972	0.00012074344755378184	0.000593223931448983	Macro_FN1
RP11-872J21.3	3.8386915	1.2155408	0.00012944445735901672	0.0006342157257895462	Macro_FN1
BTD	3.835371	0.66053015	0.0001311267826956107	0.000642084844665878	Macro_FN1
ANKH	3.8334901	0.54915273	0.0001321019243192009	0.0006466718346667377	Macro_FN1
MKNK2	3.8317409	0.45851615	0.00013300407589293204	0.0006508989590612131	Macro_FN1
DEFB1	3.8254542	0.8795392	0.0001364848502905154	0.0006672548673372934	Macro_FN1
TLN1	3.8229103	0.38934696	0.00013776307776604605	0.0006731132746881026	Macro_FN1
PLK2	3.819096	0.53964555	0.0001399608406770804	0.0006836533148410477	Macro_FN1
BRI3BP	3.817457	0.5506174	0.00014089073971946213	0.0006879960266822547	Macro_FN1
PMEPA1	3.8118415	0.6137069	0.0001441033279170931	0.0007026653445497157	Macro_FN1
APOC2	3.8097324	1.4068775	0.00014541955797548847	0.0007086732118059167	Macro_FN1
RP3-399L15.3	3.80653	1.1358979	0.00014727159258957307	0.0007171800897113852	Macro_FN1
STUB1	3.8018541	0.43703032	0.00014992234847177767	0.0007295614687186709	Macro_FN1
PAPD5	3.7973938	0.5288029	0.00015265650364776437	0.000742223410376302	Macro_FN1
ATL2	3.7937722	0.6893418	0.00015490981890839978	0.0007524222083910619	Macro_FN1
PRKAG2	3.7891395	0.47138128	0.0001577407153283721	0.0007656173526756222	Macro_FN1
KLHL24	3.7872765	0.48912156	0.00015892626290439505	0.0007712604785108291	Macro_FN1
GTPBP6	3.7823186	0.4985843	0.00016209561804725277	0.0007858488855372856	Macro_FN1
TMX4	3.781198	0.4663371	0.00016280169951958116	0.0007890449458591438	Macro_FN1
REV3L	3.7730029	0.48126483	0.00016819898550422542	0.0008142667553993349	Macro_FN1
RIPK2	3.7661328	0.4336317	0.00017280113133478855	0.0008359456308965348	Macro_FN1
F11R	3.761753	0.5010758	0.0001758787604757573	0.0008503456673081024	Macro_FN1
EBPL	3.7599096	0.49814147	0.00017716231611680284	0.0008559373500486887	Macro_FN1
SUSD6	3.7578301	0.45705047	0.00017860735649755674	0.0008625478385880287	Macro_FN1
AC091814.3	3.7491856	1.9466245	0.00018500701344992176	0.0008917920330731993	Macro_FN1
SNRPD1	3.7455487	0.42690545	0.0001874605463533492	0.0009027148276160851	Macro_FN1
ABL1	3.7407858	0.8114648	0.0001911246257765164	0.0009173437522669434	Macro_FN1
DNM2	3.7402232	0.4374033	0.00019144433855040823	0.0009182242766003495	Macro_FN1
RABGEF1	3.7330184	0.46395802	0.0001969663921914652	0.0009373708500705125	Macro_FN1
TP53TG1	3.730763	0.5440288	0.0001987519321971331	0.0009443324805989979	Macro_FN1
TP53INP2	3.7287042	0.501808	0.00020035342971773707	0.0009507749686931183	Macro_FN1
TPRA1	3.7282522	0.47293976	0.0002006967999405696	0.0009518972377811869	Macro_FN1
TPGS2	3.7282257	0.5022988	0.0002007307731837529	0.0009519243732094821	Macro_FN1
RP11-536K7.3	3.7260482	0.9382995	0.00020253883064238646	0.0009596882800822063	Macro_FN1
MTOR	3.7234	0.6097237	0.00020459842818857423	0.0009679706531851704	Macro_FN1
IFT27	3.7192068	0.54498285	0.0002079730795661957	0.0009822164259607618	Macro_FN1
C11orf45	3.7156649	1.17839	0.00021098761642207798	0.0009952424398327728	Macro_FN1
ACCS	3.7122548	0.6095773	0.00021373238960529972	0.001007907506698526	Macro_FN1
GJB2	3.711627	0.97521544	0.00021431753714522834	0.0010105254823077699	Macro_FN1
CCNB1IP1	3.7103076	0.5646617	0.0002153513182867434	0.0010151157412358048	Macro_FN1
APOA1BP	3.7099106	0.44991463	0.0002156428174667188	0.001016347613893359	Macro_FN1
BAZ2B	3.7081435	0.4548585	0.00021713357171843726	0.001023087479440781	Macro_FN1
TOR3A	3.7079566	0.4627331	0.00021730075904378754	0.001023732071479499	Macro_FN1
SLC27A5	3.7049754	0.8928257	0.0002199572362787226	0.0010359573831667987	Macro_FN1
RP11-426C22.5	3.7039049	0.59229714	0.0002208152245657067	0.0010398529946215125	Macro_FN1
C6orf89	3.7021785	0.49120426	0.00022227493213384817	0.0010462882876945906	Macro_FN1
POLR3H	3.702089	0.68352437	0.00022240458033442786	0.001046752329904765	Macro_FN1
PICALM	3.7019236	0.41350085	0.00022243723910709315	0.0010467598232506141	Macro_FN1
TRIM28	3.6991856	0.46221393	0.00022487465830295727	0.001057048930923527	Macro_FN1
SNRPB	3.6968582	0.37143576	0.0002268463064736803	0.0010657221765650005	Macro_FN1
CDK6	3.6960196	0.5361191	0.0002276958300982578	0.001069415012452007	Macro_FN1
HINT1	3.695274	0.3147415	0.00022818445388892117	0.0010715605560046425	Macro_FN1
SUPT4H1	3.691251	0.39056626	0.00023186989526428035	0.001088715754046079	Macro_FN1
DPP7	3.6904151	0.39660197	0.0002326294006440471	0.0010919775738785905	Macro_FN1
TMEM105	3.6893446	3.2432792	0.00023394593398588434	0.0010977382782594543	Macro_FN1
NEDD8	3.6819851	0.3634404	0.00024036654189223795	0.0011259433146833123	Macro_FN1
WDR18	3.6795032	0.5039897	0.00024279751427692126	0.0011366985474567993	Macro_FN1
TECR	3.6790164	0.4227582	0.00024320135473568534	0.0011380068391737832	Macro_FN1
LYPLAL1	3.6769788	0.5030622	0.00024518381195809527	0.001146436769374974	Macro_FN1
ZMYM6NB	3.6733916	0.4396051	0.00024858308416798305	0.001161847473707313	Macro_FN1
INSR	3.6729963	0.53932756	0.0002490117049518878	0.001163689374015105	Macro_FN1
USP37	3.670961	0.5652159	0.00025099636230357426	0.001172801474338737	Macro_FN1
LMAN2	3.6664345	0.3990611	0.0002553369211842993	0.0011927522837077195	Macro_FN1
DARS	3.665482	0.42883924	0.00025630570922823454	0.001197111805757712	Macro_FN1
CLASP2	3.6646538	0.4900635	0.0002571703983325656	0.0012008175445423317	Macro_FN1
RPL39	3.661064	0.053026617	0.00025918223066837356	0.0012097085579914364	Macro_FN1
MILR1	3.654461	0.4737122	0.0002674928215174423	0.0012464255467029043	Macro_FN1
RNF139	3.6474543	0.46792334	0.00027481722550131267	0.0012791396043709392	Macro_FN1
RP11-552D4.1	3.6408522	1.0657184	0.0002820300524468605	0.0013110817587119919	Macro_FN1
DZIP1L	3.6406991	1.1766975	0.0002822252293276666	0.0013118080944911573	Macro_FN1
