names	scores	logfoldchanges	pvals	pvals_adj	cluster
PLCD1	25.279837	6.0532656	1.1216676226757277e-99	5.5660484357048554e-98	cDC1_CLEC9A
C12orf45	25.248646	4.226352	9.24767684217322e-100	4.6025291509628436e-98	cDC1_CLEC9A
MCOLN2	25.197485	4.7737374	2.4832447668404896e-99	1.2268394307026899e-97	cDC1_CLEC9A
CCDC6	25.165989	4.0378346	2.6230344590918755e-99	1.2940047300826012e-97	cDC1_CLEC9A
ARF6	24.916822	2.8122838	1.6151043589493367e-98	7.932846395107719e-97	cDC1_CLEC9A
REEP3	24.861538	3.5472434	9.58159271966902e-98	4.665349495614566e-96	cDC1_CLEC9A
PDIA3	24.794744	2.0191793	1.745961226837315e-98	8.563088439163973e-97	cDC1_CLEC9A
KIF16B	24.673206	4.712403	2.314320604557474e-96	1.1076522507096524e-94	cDC1_CLEC9A
COX5A	24.665386	1.8623835	9.403395336025477e-98	4.585209876295838e-96	cDC1_CLEC9A
DNAJC4	24.5818	3.032208	2.0401384332514402e-96	9.778154248929449e-95	cDC1_CLEC9A
UPF2	24.551575	3.991646	7.983001862615573e-96	3.777798662345072e-94	cDC1_CLEC9A
LYZ	24.518393	1.576619	2.073549975951654e-98	1.0154969896760906e-96	cDC1_CLEC9A
GNA15	24.349817	3.3426943	5.628257845991051e-95	2.630215254685471e-93	cDC1_CLEC9A
SERPINF2	24.314932	5.189177	2.781709483974593e-94	1.2892286018299855e-92	cDC1_CLEC9A
HAVCR2	24.25479	3.2145834	1.8440445273891606e-94	8.57010155942764e-93	cDC1_CLEC9A
VDR	24.180817	3.985596	9.631479754332143e-94	4.42732713291224e-92	cDC1_CLEC9A
PKIB	24.159832	4.177411	1.3420483543509116e-93	6.152241802925119e-92	cDC1_CLEC9A
HMGA1	24.139072	2.9349594	5.920343612306095e-94	2.7288653580443443e-92	cDC1_CLEC9A
LYRM4	24.13075	4.3048534	2.4049183202475025e-93	1.0964995653913307e-91	cDC1_CLEC9A
C1QBP	24.04136	2.9243414	2.3342031459050573e-93	1.0656997398119918e-91	cDC1_CLEC9A
ATP1A1	23.973778	2.514641	2.8985963933272847e-93	1.3198014442806693e-91	cDC1_CLEC9A
VIM	23.968927	1.1332384	5.518953235138887e-94	2.547337127462598e-92	cDC1_CLEC9A
WBSCR22	23.953344	3.4884398	1.4846202357992098e-92	6.714469023492427e-91	cDC1_CLEC9A
