names	scores	logfoldchanges	pvals	pvals_adj	cluster
SDF2	-0.83159107	-0.12719886	0.4059016935526629	0.6263325166148458	cDC3_LAMP3
TBC1D1	-0.8318185	-0.12730038	0.4057734320693088	0.6262186411788339	cDC3_LAMP3
USP25	-0.8323858	-0.16504695	0.40545312048401605	0.6259490236695733	cDC3_LAMP3
FUBP3	-0.8328089	-0.17093366	0.4052144796434186	0.6256092685623784	cDC3_LAMP3
PRDM1	-0.8330413	-0.14343786	0.4050839073580039	0.6254649974576383	cDC3_LAMP3
AC241377.2	-0.8330924	-0.5775152	0.40505209409812226	0.6254445377637199	cDC3_LAMP3
IFI30	-0.8345583	-0.120755	0.4042297405784978	0.6242891726200626	cDC3_LAMP3
CATSPERG	-0.83475125	-0.31508446	0.4041195198228461	0.6241761678162263	cDC3_LAMP3
RP11-1000B6.5	-0.835233	-0.8868111	0.40384517474883597	0.6238660009839748	cDC3_LAMP3
PARP2	-0.8371788	-0.28930825	0.40275488303585893	0.622514225528113	cDC3_LAMP3
ZNF738	-0.83739066	-0.22658168	0.40263625437344697	0.6224273240438117	cDC3_LAMP3
ANLN	-0.83866566	-0.6835263	0.40191695221065216	0.6215435004491332	cDC3_LAMP3
SYCE1	-0.8388837	-0.8898253	0.40179405285510306	0.6213819624959765	cDC3_LAMP3
SGK494	-0.8389967	-0.69526607	0.40173330771637084	0.6213165367756999	cDC3_LAMP3
AC073283.7	-0.8404122	-0.89180094	0.40093566372424205	0.6203560159671078	cDC3_LAMP3
TRUB1	-0.84067476	-0.31730258	0.40079441047618225	0.6202060653340905	cDC3_LAMP3
GGCT	-0.8407438	-0.14315814	0.40075665195779986	0.6201761186362058	cDC3_LAMP3
WRAP73	-0.84158105	-0.1717565	0.40028771263265206	0.6195357918899668	cDC3_LAMP3
ZNF571	-0.84164834	-0.4723264	0.4002480065253372	0.6195027944262351	cDC3_LAMP3
SIT1	-0.84187514	-0.47258666	0.40012169202636017	0.6193357355354732	cDC3_LAMP3
RP5-1074L1.4	-0.84240854	-0.8925668	0.3998209609818738	0.6188986750274845	cDC3_LAMP3
MPHOSPH8	-0.8427967	-0.12810501	0.399608156199165	0.6186829580009496	cDC3_LAMP3
RPRD1A	-0.84573364	-0.16549401	0.3979680839568521	0.6164836844670211	cDC3_LAMP3
TMEM161B	-0.8469627	-0.28472617	0.3972822787345085	0.6156194398307823	cDC3_LAMP3
CNFN	-0.8472254	-0.27787402	0.3971356444241819	0.615420521695644	cDC3_LAMP3
CETN2	-0.84857935	-0.20106694	0.3963827304615414	0.6144952709532261	cDC3_LAMP3
KIAA1614	-0.8489203	-0.8984781	0.3961871008682081	0.6142613738566816	cDC3_LAMP3
DCLRE1A	-0.85102904	-0.5873343	0.3950192871936661	0.612845559568256	cDC3_LAMP3
RP11-101E13.5	-0.8513557	-0.90034324	0.394834229628081	0.612614870744546	cDC3_LAMP3
RP11-692D12.1	-0.85222685	-0.6912168	0.3943529063060468	0.6120089735652868	cDC3_LAMP3
DCTN4	-0.85374117	-0.13332157	0.39351813624791243	0.610966734989271	cDC3_LAMP3
NOL8	-0.85382795	-0.17229874	0.393469915447624	0.6109481719397347	cDC3_LAMP3
GART	-0.85520023	-0.16642569	0.39271041480989155	0.6099375272704197	cDC3_LAMP3
IFT22	-0.855264	-0.33263656	0.39267412529843804	0.6099245203156265	cDC3_LAMP3
RP3-393E18.2	-0.8554097	-0.33309174	0.3925934078508675	0.6098401311201479	cDC3_LAMP3
MFSD6	-0.8558022	-0.23334439	0.392377420611425	0.6095608285343425	cDC3_LAMP3
BAG5	-0.85612893	-0.16136594	0.39219689390480195	0.6093566796210669	cDC3_LAMP3
RP11-560J1.2	-0.8563599	-0.6942174	0.39206573737521466	0.6091889764869949	cDC3_LAMP3
STARD10	-0.85660297	-0.21014708	0.39193379755282254	0.6090401408820183	cDC3_LAMP3
VPS4B	-0.85697013	-0.1318297	0.3917322724279285	0.6087831367181691	cDC3_LAMP3
PCGF6	-0.8578797	-0.27051786	0.39122926571237504	0.6082539165242139	cDC3_LAMP3
FBXO4	-0.8589114	-0.2187688	0.39066046992552483	0.6074817183713602	cDC3_LAMP3
MED6	-0.8595793	-0.16315387	0.3902925971532789	0.6069656959513791	cDC3_LAMP3
CSTB	-0.8608331	-0.098770656	0.3896022631426118	0.6060879382394	cDC3_LAMP3
TIGD1	-0.861641	-0.44628716	0.38915545289329345	0.6054767191441923	cDC3_LAMP3
MSL1	-0.86209244	-0.16823745	0.3889088286514679	0.6052327408702859	cDC3_LAMP3
CTC-329D1.2	-0.8625923	-0.52993214	0.3886321254940117	0.6049697776112373	cDC3_LAMP3
KBTBD3	-0.8626788	-0.28985122	0.3885860040482436	0.6049259296064277	cDC3_LAMP3
ZMPSTE24	-0.86290586	-0.15651259	0.38846204790055927	0.6047826159358892	cDC3_LAMP3
CFAP97	-0.8630996	-0.16408567	0.38835554873685296	0.6046789214020113	cDC3_LAMP3
TAPT1-AS1	-0.8634407	-0.52847576	0.388165721912329	0.6045230337006708	cDC3_LAMP3
POLM	-0.8638324	-0.19341347	0.3879531092163463	0.6042403635238046	cDC3_LAMP3
LINC00954	-0.86457425	-0.4483385	0.38754428385384054	0.6036668253974067	cDC3_LAMP3
GZMH	-0.8645879	-0.7065384	0.38753635149691756	0.6036668253974067	cDC3_LAMP3
C4orf47	-0.8646385	-0.4896255	0.38750932962440277	0.6036668253974067	cDC3_LAMP3
LA16c-390E6.4	-0.8647337	-0.9101332	0.3874540292613635	0.6036099529282588	cDC3_LAMP3
RSL24D1	-0.8653719	-0.12329007	0.3871085210580957	0.6031553529956751	cDC3_LAMP3
PLVAP	-0.8658463	-0.38388282	0.3868477214348707	0.6028834151205259	cDC3_LAMP3
ZSCAN25	-0.86606467	-0.3370789	0.38672768901436694	0.6027292082728193	cDC3_LAMP3
RAD54L2	-0.8662367	-0.24432635	0.386633565584637	0.6026103875848255	cDC3_LAMP3
ADPRH	-0.86696184	-0.14479572	0.3862371813144908	0.6020204277749204	cDC3_LAMP3
CKAP5	-0.86774474	-0.1644081	0.3858085224870508	0.6014635800989537	cDC3_LAMP3
EPB41L4A-AS1	-0.86998093	-0.14541562	0.38458621502767965	0.599780047634466	cDC3_LAMP3
LURAP1	-0.8701275	-0.7041933	0.38450190698197206	0.5997040806300313	cDC3_LAMP3
ENAH	-0.8710373	-0.91545427	0.3840039156179873	0.5990937599126019	cDC3_LAMP3
AARSD1	-0.8723327	-0.17919558	0.38330286300880334	0.598249336030138	cDC3_LAMP3
ATG4A	-0.87262243	-0.25533456	0.38314456950310505	0.5980834555076083	cDC3_LAMP3
FBXL17	-0.87294096	-0.25535932	0.3829711494512411	0.5978700787476309	cDC3_LAMP3
UQCRHL	-0.8733626	-0.31880802	0.3827411879662467	0.5975664513847697	cDC3_LAMP3
CDC23	-0.8735741	-0.24392089	0.38262632535021723	0.5974148010356914	cDC3_LAMP3
YTHDF3-AS1	-0.87362885	-0.30038014	0.38259586066730833	0.5974148010356914	cDC3_LAMP3
SCAP	-0.87455046	-0.17827831	0.38209513700082254	0.5968343399056935	cDC3_LAMP3
DNASE1	-0.8750696	-0.33842814	0.3818113433920036	0.5964463537600339	cDC3_LAMP3
CTB-167B5.1	-0.8754322	-0.70610994	0.38161163842418033	0.5962726092127775	cDC3_LAMP3
GATB	-0.8759333	-0.23483326	0.38134358045748207	0.5959919569522891	cDC3_LAMP3
VKORC1	-0.87766194	-0.16794248	0.38040504219988525	0.5947458350834269	cDC3_LAMP3
LRRC8A	-0.8782919	-0.24420077	0.38006273746941455	0.5943209670160325	cDC3_LAMP3
RP11-138I1.2	-0.87865937	-0.5381676	0.37986182713725447	0.5940343638523462	cDC3_LAMP3
ARHGEF10	-0.8791499	-0.6030112	0.37959487518481416	0.5937822527612409	cDC3_LAMP3
AHNAK2	-0.87993205	-0.92305696	0.3791678868533964	0.5932520445617988	cDC3_LAMP3
ERVK3-1	-0.88021684	-0.14042568	0.37902061551330013	0.5930556970333108	cDC3_LAMP3
C1orf174	-0.8804042	-0.16223283	0.3789191119098819	0.5929454094692347	cDC3_LAMP3
RP11-91G21.1	-0.88068616	-0.6056323	0.3787642992047633	0.5928132802585143	cDC3_LAMP3
RP11-20I23.6	-0.88083434	-0.9234315	0.378680062059659	0.5927089706432922	cDC3_LAMP3
TMEM238	-0.88232815	-0.71214134	0.3778739713247605	0.5916396649542974	cDC3_LAMP3
CTD-2583A14.10	-0.8824466	-0.49158525	0.37781219931831445	0.5915877436466369	cDC3_LAMP3
SIK1	-0.88274825	-0.27703312	0.3776513280898792	0.5914520522879982	cDC3_LAMP3
ACTR5	-0.88320804	-0.31253377	0.37740300586147757	0.5912459686393019	cDC3_LAMP3
BHLHE41	-0.8832266	-0.19103171	0.37739358697871817	0.5912459686393019	cDC3_LAMP3
DRG2	-0.88359636	-0.1573225	0.37719393996391737	0.5910418366341548	cDC3_LAMP3
HIST1H3B	-0.8840552	-0.9258689	0.3769405047469695	0.5907820898197222	cDC3_LAMP3
TRAF3IP2-AS1	-0.8845542	-0.32086745	0.3766760855032528	0.590505002789122	cDC3_LAMP3
STARD9	-0.8852032	-0.4929684	0.3763248594140356	0.5900367525870878	cDC3_LAMP3
FUNDC1	-0.88669384	-0.22067481	0.3755244246886289	0.589055864313718	cDC3_LAMP3
DTL	-0.88866615	-0.9293229	0.37445814854720016	0.5876568633977347	cDC3_LAMP3
RP11-324E6.6	-0.88928723	-0.9292966	0.37412601031051007	0.5872450289482123	cDC3_LAMP3
LRRC49	-0.89008373	-0.93081284	0.37369579774230277	0.5867056183196924	cDC3_LAMP3
CHAF1B	-0.8902226	-0.7151825	0.3736242619685285	0.5866487666138962	cDC3_LAMP3
ZNF252P-AS1	-0.89051145	-0.93089604	0.37346739480811175	0.5864571189199104	cDC3_LAMP3
RP4-777O23.3	-0.8912249	-0.9318604	0.37308375316270115	0.5860185529375811	cDC3_LAMP3
SPR	-0.89137274	-0.24513207	0.37301168054696476	0.5859872978529201	cDC3_LAMP3
RP11-138A9.1	-0.892312	-0.17659844	0.3725085622704799	0.5853879715097966	cDC3_LAMP3
KCNMB1	-0.8935141	-0.1674024	0.37186541547824037	0.5845397539273287	cDC3_LAMP3
CYB5D2	-0.8936996	-0.22271289	0.37176571995882823	0.5844386771937087	cDC3_LAMP3
TTC32	-0.8942806	-0.20853986	0.3714552510090193	0.5840596027578466	cDC3_LAMP3
FOXK1	-0.8959566	-0.29283932	0.37055921076295484	0.582949950856616	cDC3_LAMP3
TCTE3	-0.8964622	-0.3921522	0.3702892002521415	0.5827156281021745	cDC3_LAMP3
DECR2	-0.89747435	-0.26115206	0.3697499315337871	0.5819485329362585	cDC3_LAMP3
C7orf43	-0.8975167	-0.22101821	0.36972767519959227	0.5819406870731566	cDC3_LAMP3
UBE2G2	-0.89778394	-0.1459036	0.36958574692460355	0.5817716494687032	cDC3_LAMP3
DEPDC1B	-0.8979862	-0.72040117	0.3694731940725148	0.5816488249815125	cDC3_LAMP3
RP11-1081L13.4	-0.89843357	-0.936517	0.36923426199523857	0.581350214430024	cDC3_LAMP3
LAMP2	-0.89887965	-0.13255405	0.3690022711185077	0.5810703614089358	cDC3_LAMP3
